"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"TUR","GRADRATETRY","TRY","PC","A","2010",,"M"
"TUR","GRADRATETRY","TRY","PC","A","2011",,"M"
"TUR","GRADRATETRY","TRY","PC","A","2012",39.624,
"TUR","GRADRATETRY","TRY","PC","A","2013",,"M"
"TUR","GRADRATETRY","TRY","PC","A","2014",46.221,
"TUR","GRADRATETRY","TRY","PC","A","2015",49.525,
"TUR","GRADRATETRY","TRY","PC","A","2016",49.15,
"TUR","GRADRATETRY","TRY","PC","A","2017",48.982,
"TUR","GRADRATETRY","TRY","PC","A","2018",50.046,
"GBR","GRADRATETRY","TRY","PC","A","2005",,"M"
"GBR","GRADRATETRY","TRY","PC","A","2010",,"M"
"GBR","GRADRATETRY","TRY","PC","A","2011",,"M"
"GBR","GRADRATETRY","TRY","PC","A","2012",,"M"
"GBR","GRADRATETRY","TRY","PC","A","2013",37.216,
"GBR","GRADRATETRY","TRY","PC","A","2014",37.254,
"GBR","GRADRATETRY","TRY","PC","A","2015",34.711,
"GBR","GRADRATETRY","TRY","PC","A","2016",36.037,
"GBR","GRADRATETRY","TRY","PC","A","2017",39.25,
"GBR","GRADRATETRY","TRY","PC","A","2018",41.274,
"USA","GRADRATETRY","TRY","PC","A","2013",,"M"
"USA","GRADRATETRY","TRY","PC","A","2017",,"M"
"USA","GRADRATETRY","TRY","PC","A","2018",,"M"
"ARG","GRADRATETRY","TRY","PC","A","2005",,"M"
"ARG","GRADRATETRY","TRY","PC","A","2010",,"M"
"ARG","GRADRATETRY","TRY","PC","A","2011",,"M"
"ARG","GRADRATETRY","TRY","PC","A","2012",,"M"
"ARG","GRADRATETRY","TRY","PC","A","2013",,"M"
"ARG","GRADRATETRY","TRY","PC","A","2014",,"M"
"ARG","GRADRATETRY","TRY","PC","A","2015",,"M"
"BRA","GRADRATETRY","TRY","PC","A","2005",,"M"
"BRA","GRADRATETRY","TRY","PC","A","2010",,"M"
"BRA","GRADRATETRY","TRY","PC","A","2011",,"M"
"BRA","GRADRATETRY","TRY","PC","A","2012",,"M"
"BRA","GRADRATETRY","TRY","PC","A","2013",,"M"
"BRA","GRADRATETRY","TRY","PC","A","2014",,"M"
"BRA","GRADRATETRY","TRY","PC","A","2015",,"M"
"BRA","GRADRATETRY","TRY","PC","A","2016",,"M"
"BRA","GRADRATETRY","TRY","PC","A","2017",,"M"
"BRA","GRADRATETRY","TRY","PC","A","2018",,"M"
"CHL","GRADRATETRY","TRY","PC","A","2005",,"M"
"CHL","GRADRATETRY","TRY","PC","A","2010",,"M"
"CHL","GRADRATETRY","TRY","PC","A","2011",,"M"
"CHL","GRADRATETRY","TRY","PC","A","2012",,"M"
"CHL","GRADRATETRY","TRY","PC","A","2013",,"M"
"CHL","GRADRATETRY","TRY","PC","A","2014",,"M"
"CHL","GRADRATETRY","TRY","PC","A","2015",,"M"
"CHL","GRADRATETRY","TRY","PC","A","2016",44.22,
"CHL","GRADRATETRY","TRY","PC","A","2017",44.477,
"CHL","GRADRATETRY","TRY","PC","A","2018",44.332,
"CHN","GRADRATETRY","TRY","PC","A","2005",,"M"
"CHN","GRADRATETRY","TRY","PC","A","2010",,"M"
"CHN","GRADRATETRY","TRY","PC","A","2011",,"M"
"CHN","GRADRATETRY","TRY","PC","A","2012",,"M"
"CHN","GRADRATETRY","TRY","PC","A","2013",,"M"
"CHN","GRADRATETRY","TRY","PC","A","2015",,"M"
"CHN","GRADRATETRY","TRY","PC","A","2016",,"M"
"COL","GRADRATETRY","TRY","PC","A","2005",,"M"
"COL","GRADRATETRY","TRY","PC","A","2010",,"M"
"COL","GRADRATETRY","TRY","PC","A","2011",,"M"
"COL","GRADRATETRY","TRY","PC","A","2012",,"M"
"COL","GRADRATETRY","TRY","PC","A","2013",,"M"
"COL","GRADRATETRY","TRY","PC","A","2014",,"M"
"COL","GRADRATETRY","TRY","PC","A","2015",,"M"
"COL","GRADRATETRY","TRY","PC","A","2016",,"M"
"COL","GRADRATETRY","TRY","PC","A","2017",,"M"
"COL","GRADRATETRY","TRY","PC","A","2018",,"M"
"CRI","GRADRATETRY","TRY","PC","A","2013",,"M"
"CRI","GRADRATETRY","TRY","PC","A","2014",,"M"
"CRI","GRADRATETRY","TRY","PC","A","2015",,"M"
"CRI","GRADRATETRY","TRY","PC","A","2016",,"M"
"CRI","GRADRATETRY","TRY","PC","A","2017",,"M"
"CRI","GRADRATETRY","TRY","PC","A","2018",,"M"
"EST","GRADRATETRY","TRY","PC","A","2005",,"M"
"EST","GRADRATETRY","TRY","PC","A","2010",,"M"
"EST","GRADRATETRY","TRY","PC","A","2011",,"M"
"EST","GRADRATETRY","TRY","PC","A","2012",,"M"
"EST","GRADRATETRY","TRY","PC","A","2013",,"M"
"EST","GRADRATETRY","TRY","PC","A","2014",,"M"
"EST","GRADRATETRY","TRY","PC","A","2015",,"M"
"EST","GRADRATETRY","TRY","PC","A","2016",,"M"
"EST","GRADRATETRY","TRY","PC","A","2017",,"M"
"EST","GRADRATETRY","TRY","PC","A","2018",29.688,
"IND","GRADRATETRY","TRY","PC","A","2005",,"M"
"IND","GRADRATETRY","TRY","PC","A","2010",,"M"
"IND","GRADRATETRY","TRY","PC","A","2011",,"M"
"IND","GRADRATETRY","TRY","PC","A","2012",,"M"
"IND","GRADRATETRY","TRY","PC","A","2013",,"M"
"IND","GRADRATETRY","TRY","PC","A","2014",,"M"
"IND","GRADRATETRY","TRY","PC","A","2015",,"M"
"IND","GRADRATETRY","TRY","PC","A","2016",,"M"
"IDN","GRADRATETRY","TRY","PC","A","2005",,"M"
"IDN","GRADRATETRY","TRY","PC","A","2010",,"M"
"IDN","GRADRATETRY","TRY","PC","A","2011",,"M"
"IDN","GRADRATETRY","TRY","PC","A","2012",,"M"
"IDN","GRADRATETRY","TRY","PC","A","2013",,"M"
"IDN","GRADRATETRY","TRY","PC","A","2014",,"M"
"IDN","GRADRATETRY","TRY","PC","A","2015",,"M"
"IDN","GRADRATETRY","TRY","PC","A","2016",,"M"
"ISR","GRADRATETRY","TRY","PC","A","2005",,"M"
"ISR","GRADRATETRY","TRY","PC","A","2010",,"M"
"ISR","GRADRATETRY","TRY","PC","A","2011",,"M"
"ISR","GRADRATETRY","TRY","PC","A","2012",,"M"
"ISR","GRADRATETRY","TRY","PC","A","2014",,"M"
"ISR","GRADRATETRY","TRY","PC","A","2015",,"M"
"ISR","GRADRATETRY","TRY","PC","A","2016",,"M"
"ISR","GRADRATETRY","TRY","PC","A","2017",,"M"
"ISR","GRADRATETRY","TRY","PC","A","2018",,"M"
"LVA","GRADRATETRY","TRY","PC","A","2005",,"M"
"LVA","GRADRATETRY","TRY","PC","A","2010",,"M"
"LVA","GRADRATETRY","TRY","PC","A","2011",,"M"
"LVA","GRADRATETRY","TRY","PC","A","2012",,"M"
"LVA","GRADRATETRY","TRY","PC","A","2013",,"M"
"LVA","GRADRATETRY","TRY","PC","A","2014",37.097,
"LVA","GRADRATETRY","TRY","PC","A","2015",35.982,
"LVA","GRADRATETRY","TRY","PC","A","2016",35.209,
"LVA","GRADRATETRY","TRY","PC","A","2017",33.909,
"LVA","GRADRATETRY","TRY","PC","A","2018",36.887,
"LTU","GRADRATETRY","TRY","PC","A","2005",,"M"
"LTU","GRADRATETRY","TRY","PC","A","2010",,"M"
"LTU","GRADRATETRY","TRY","PC","A","2011",,"M"
"LTU","GRADRATETRY","TRY","PC","A","2012",,"M"
"LTU","GRADRATETRY","TRY","PC","A","2013",,"M"
"LTU","GRADRATETRY","TRY","PC","A","2014",,"M"
"LTU","GRADRATETRY","TRY","PC","A","2015",,"M"
"LTU","GRADRATETRY","TRY","PC","A","2016",,"M"
"LTU","GRADRATETRY","TRY","PC","A","2017",47.833,
"LTU","GRADRATETRY","TRY","PC","A","2018",50.384,
"RUS","GRADRATETRY","TRY","PC","A","2005",,"M"
"RUS","GRADRATETRY","TRY","PC","A","2010",,"M"
"RUS","GRADRATETRY","TRY","PC","A","2011",,"M"
"RUS","GRADRATETRY","TRY","PC","A","2012",,"M"
"RUS","GRADRATETRY","TRY","PC","A","2013",,"M"
"RUS","GRADRATETRY","TRY","PC","A","2014",,"M"
"RUS","GRADRATETRY","TRY","PC","A","2015",,"M"
"RUS","GRADRATETRY","TRY","PC","A","2016",,"M"
"RUS","GRADRATETRY","TRY","PC","A","2017",,"M"
"RUS","GRADRATETRY","TRY","PC","A","2018",,"M"
"SAU","GRADRATETRY","TRY","PC","A","2005",,"M"
"SAU","GRADRATETRY","TRY","PC","A","2010",,"M"
"SAU","GRADRATETRY","TRY","PC","A","2011",,"M"
"SAU","GRADRATETRY","TRY","PC","A","2012",,"M"
"SAU","GRADRATETRY","TRY","PC","A","2013",,"M"
"SAU","GRADRATETRY","TRY","PC","A","2014",,"M"
"SAU","GRADRATETRY","TRY","PC","A","2015",,"M"
"SAU","GRADRATETRY","TRY","PC","A","2016",,"M"
"SVN","GRADRATETRY","TRY","PC","A","2005",,"M"
"SVN","GRADRATETRY","TRY","PC","A","2010",,"M"
"SVN","GRADRATETRY","TRY","PC","A","2011",,"M"
"SVN","GRADRATETRY","TRY","PC","A","2012",50.045,
"SVN","GRADRATETRY","TRY","PC","A","2013",49.419,
"SVN","GRADRATETRY","TRY","PC","A","2014",47.297,
"SVN","GRADRATETRY","TRY","PC","A","2015",47.607,
"SVN","GRADRATETRY","TRY","PC","A","2016",54.071,
"SVN","GRADRATETRY","TRY","PC","A","2017",44.252,
"SVN","GRADRATETRY","TRY","PC","A","2018",44.801,
"ZAF","GRADRATETRY","TRY","PC","A","2005",,"M"
"ZAF","GRADRATETRY","TRY","PC","A","2010",,"M"
"ZAF","GRADRATETRY","TRY","PC","A","2011",,"M"
"ZAF","GRADRATETRY","TRY","PC","A","2012",,"M"
"ZAF","GRADRATETRY","TRY","PC","A","2013",,"M"
"ZAF","GRADRATETRY","TRY","PC","A","2014",,"M"
"ZAF","GRADRATETRY","TRY","PC","A","2015",,"M"
"OAVG","GRADRATETRY","TRY","PC","A","2005",33.725,
"OAVG","GRADRATETRY","TRY","PC","A","2010",36.559,
"OAVG","GRADRATETRY","TRY","PC","A","2011",36.367,
"OAVG","GRADRATETRY","TRY","PC","A","2012",39.541,
"OAVG","GRADRATETRY","TRY","PC","A","2013",35.87,
"OAVG","GRADRATETRY","TRY","PC","A","2014",34.19,
"OAVG","GRADRATETRY","TRY","PC","A","2015",34.132,
"OAVG","GRADRATETRY","TRY","PC","A","2016",36.463,
"OAVG","GRADRATETRY","TRY","PC","A","2017",36.558,
"OAVG","GRADRATETRY","TRY","PC","A","2018",36.549,
